OBJECTID,POBTOTAL,PPOBTOTAL,POBRURAL,PPOBRURAL,POBURBANA,PPOBURBAN,VIV_TOT,PVIVTOT,VIVRURAL,PVIVRUR,VIVURBANA,PVIVURBAN,INDIRURAL,PINDIRUR,AFRORURAL,PAFRORUR,INDIURBAN,PINDIURB,AFROURBAN,PAFROURB,PORURCNBI,PPORUCNBI,VIRURCNBI,PVIRUCNBI,HORURCNBI,PHORUCNBI,MURURCNBI,PMURUCNBI,INDRUCNBI,AFRRUCNBI,RESRUCNBI,PRUPRUNBI,TOTINDIGE,PPOBINDI,PINDRUNBI,TOTAFRO,PPOBAFRO,PAFRRUNBI,UNIDTERR1,UNIDTERR2,UNIDTERR3,PAIS,GID_3
862,1005,0.01,1005,100,0,0,388,0.01,388,100,0,0,0,0,42,4.18,0,0,0,0,847,0.02,260,67,476,0.03,371,0.02,0,39,808,84.28,0,0,0,42,4.18,92.86,MANABI,JIPIJAPA,MEMBRILLAL,Ecuador,ECU.14.8.6_1
863,3564,0.02,3564,100,0,0,1469,0.03,1469,100,0,0,0,0,62,1.74,0,0,0,0,3127,0.09,901,61.3,1659,0.09,1468,0.09,0,52,3075,87.74,0,0,0,62,1.74,83.87,MANABI,JIPIJAPA,PEDRO PABLO GOMEZ,Ecuador,ECU.14.8.7_1
864,3398,0.02,3398,100,0,0,1397,0.03,1397,100,0,0,4,0.12,250,7.36,0,0,0,0,2175,0.06,507,36.2,1153,0.07,1022,0.06,3,173,1999,64.01,4,0.12,75,250,7.36,69.2,MANABI,JIPIJAPA,PUERTO DE CAYO,Ecuador,ECU.14.8.8_1
865,18942,0.13,13542,71.4,5400,28.51,5563,0.12,3991,71.7,1572,28.26,3,0.02,638,4.71,2,0.04,382,0.05,11127,0.32,2676,67,5823,0.33,5304,0.31,2,589,10536,82.17,5,0.03,66.67,1020,5.38,92.32,MANABI,JUNIN,JUNIN,Ecuador,ECU.14.9.1_1
866,221122,1.53,3569,1.61,217553,98.39,65780,1.41,1209,1.84,64571,98.16,0,0,263,7.37,460,0.21,16919,2.18,3098,0.09,755,62.4,1567,0.09,1531,0.09,0,250,2848,86.8,460,0.21,0,17182,7.77,95.06,MANABI,MANTA,MANTA,Ecuador,ECU.14.10.1_1
867,2647,0.02,2647,100,0,0,902,0.02,902,100,0,0,4,0.15,159,6.01,0,0,0,0,2236,0.06,525,58.2,1178,0.07,1058,0.06,4,143,2089,84.47,4,0.15,100,159,6.01,89.94,MANABI,MANTA,SAN LORENZO,Ecuador,ECU.14.10.2_1
868,2708,0.02,2708,100,0,0,877,0.02,877,100,0,0,15,0.55,272,10,0,0,0,0,2317,0.07,595,67.8,1147,0.07,1170,0.07,10,258,2049,85.56,15,0.55,66.67,272,10.04,94.85,MANABI,MANTA,SANTA MARIANITA (BOCA DE PACOCHE),Ecuador,ECU.14.10.3_1
869,67842,0.47,21530,31.7,46312,68.26,20462,0.44,6828,33.3,13634,66.63,12,0.06,2372,11,62,0.13,4246,0.55,15543,0.45,3788,55.4,7959,0.46,7584,0.44,9,1629,13905,72.19,74,0.11,75,6618,9.76,68.68,MANABI,MONTECRISTI,MONTECRISTI,Ecuador,ECU.14.11.2_1
870,2452,0.02,2452,100,0,0,739,0.02,739,100,0,0,0,0,71,2.9,0,0,0,0,1753,0.05,439,59.4,926,0.05,827,0.05,0,36,1717,71.49,0,0,0,71,2.9,50.7,MANABI,MONTECRISTI,LA PILA,Ecuador,ECU.14.11.1_1
871,12266,0.08,5289,43.1,6977,56.88,4162,0.09,1892,45.4,2270,54.54,6,0.11,59,1.12,5,0.07,264,0.03,4895,0.14,1389,73.4,2592,0.15,2303,0.13,6,56,4833,92.55,11,0.09,100,323,2.63,94.92,MANABI,PAJAN,PAJAN,Ecuador,ECU.14.13.5_1
